exposuretype,securitylevel,varcharext,createuserid,coverageid,createtime,compbenefitsid,averageweeklywages,daysinweek,lostpropertytype,segment,lastdayworked,ssbenefit,pipdeathbenefitsid,id,claimid,rsbenefitsid,examinationdate,ppdbenefitsid,integerext,tpdbenefitsid,wagestmtrecd,claimanttype,closedoutcome,hospitaldate,incidentlimitreached,locked,wcbenefit,settlemethod,othercovgchoice,wagebenefit,deathbenefitsid,assignedgroupid,depreciatedvalue,previousqueueid,assignmentdate,assignmentstatus,loadcommandid,metriclimitgeneration,disbenefitsid,progress,diagnosticcnsistnt,assignedbyuserid,wcpreexdisblty,updateuserid,updatetime,losscategory,treatedpatientbfr,lossparty,publicid,breakin,retired,archivepartition,validationlevel,pippersonagglimitreached,lifepensionbenefitsid,jurisdictionstate,state,coveragesubtype,previoususerid,vocbenefitsid,statlineid,priorempdataid,reopendate,isoreceivedate,claimorder,strategy,ptdbenefitsid,replacementvalue,ttdbenefitsid,wcpreexdisbltyinfo,closedate,wcbenefitsid,previousgroupid,exposuretier,riagreementgroupid,pipvocbenefitsid,isostatus,settledate,ssdibenefitsid,pipnonmedagglimitreached,assignedqueueid,pipesslimitreached,othercoverageinfo,templocationid,hospitaldays,furthertreatment,assigneduserid,isosenddate,ssdieligible,isoknown,exposurelimitreached,reopenedreason,beanversion,wagestmtsent,claimantdenormid,primarycoverage,currentconditions,incidentid,newempdataid,rigroupsetexternally,pipclaimagglimitreached,othercoverage,contactpermitted
GLASS,,,,COV01-1000002,2018-06-10,,,,,,,,,EXP01-10001,CLM01-1007916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100000,,,,,
COMP,,,,COV01-1000004,2018-07-17,,,,,,,,,EXP01-10003,CLM01-1008279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-08-20,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100001,,,,,
BI,,,,COV01-1000002,2018-03-24,,,,,,,,,EXP01-10002,CLM01-1006316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100002,,,,,
GLASS,,,,COV01-1000005,2018-12-13,,,,,,,,,EXP01-10001,CLM01-1005185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100003,,,,,
COL,,,,COV01-1000001,2018-06-05,,,,,,,,,EXP01-10004,CLM01-1004258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-03,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100004,,,,,
GLASS,,,,COV01-1000001,2018-12-22,,,,,,,,,EXP01-10001,CLM01-1008061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100005,,,,,
PD,,,,COV01-1000001,2018-11-28,,,,,,,,,EXP01-10005,CLM01-1010251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100006,,,,,
COL,,,,COV01-1000002,2018-11-17,,,,,,,,,EXP01-10004,CLM01-1004502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100007,,,,,
COL,,,,COV01-1000004,2018-08-03,,,,,,,,,EXP01-10004,CLM01-1009111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-09-05,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100008,,,,,
GLASS,,,,COV01-1000002,2018-07-01,,,,,,,,,EXP01-10001,CLM01-1008386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-09,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100009,,,,,
GLASS,,,,COV01-1000001,2018-05-23,,,,,,,,,EXP01-10001,CLM01-1001920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100010,,,,,
COMP,,,,COV01-1000002,2018-09-08,,,,,,,,,EXP01-10003,CLM01-1001213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-10-06,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100011,,,,,
PD,,,,COV01-1000002,2018-06-21,,,,,,,,,EXP01-10005,CLM01-1009682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-07-21,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100012,,,,,
COMP,,,,COV01-1000001,2018-01-26,,,,,,,,,EXP01-10003,CLM01-1009996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thirdparty,,,,,,,,,,,,,,,,,,,,,,,2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100013,,,,,
BI,,,,COV01-1000002,2018-02-20,,,,,,,,,EXP01-10002,CLM01-1003350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100014,,,,,
COMP,,,,COV01-1000001,2018-07-13,,,,,,,,,EXP01-10003,CLM01-1006800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,2018-08-13,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100015,,,,,
PD,,,,COV01-1000003,2018-05-25,,,,,,,,,EXP01-10005,CLM01-1001937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Insured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INC01-100016,,,,,
