index,exposure_id,exp_createdate,exp_claim_id,exp_lossparty,exp_coverage_id,exp_incident_id,exp_vehicle_id,exp_group,exp_type,exp_closedate,exp_status,exp_resolution
0,EXP01-10001,2018-06-10,CLM01-1007916,Insured,COV01-1000002,INC01-100000,C34BB5A05F98412F,FastTrack,GLASS,2018-06-15,Closed,Duplicate
1,EXP01-10003,2018-07-17,CLM01-1008279,Thirdparty,COV01-1000004,INC01-100001,A10044ACC15042AD,Glass,COMP,2018-08-20,Closed,Closed with payments
2,EXP01-10002,2018-03-24,CLM01-1006316,Thirdparty,COV01-1000002,INC01-100002,22E23970B8794C93,Total Loss,BI,2018-04-22,Closed,Duplicate
3,EXP01-10001,2018-12-13,CLM01-1005185,Insured,COV01-1000005,INC01-100003,2E61F70CDD65418D,Total Loss,GLASS,,Open,Rejected
4,EXP01-10004,2018-06-05,CLM01-1004258,Insured,COV01-1000001,INC01-100004,C6DF8B0394DB4B7F,Glass,COL,2018-07-03,Closed,Closed without payment
5,EXP01-10001,2018-12-22,CLM01-1008061,Thirdparty,COV01-1000001,INC01-100005,F570BBA524CB4BF3,Medical Claims,GLASS,,Open,Closed with payments
6,EXP01-10005,2018-11-28,CLM01-1010251,Insured,COV01-1000001,INC01-100006,5BC4AD550E2643DB,Medical Claims,PD,,Open,Closed without payment
7,EXP01-10004,2018-11-17,CLM01-1004502,Thirdparty,COV01-1000002,INC01-100007,B37C1C933CEE4E16,FastTrack,COL,,Open,Reported in siu
8,EXP01-10004,2018-08-03,CLM01-1009111,Insured,COV01-1000004,INC01-100008,0708AA7221F24DCE,Injury-Compound,COL,2018-09-05,Closed,Duplicate
9,EXP01-10001,2018-07-01,CLM01-1008386,Insured,COV01-1000002,INC01-100009,0417DED18F044795,Glass,GLASS,2018-07-09,Closed,Closed with payments
10,EXP01-10001,2018-05-23,CLM01-1001920,Insured,COV01-1000001,INC01-100010,9FB727C46B214B3F,houseowners compound,GLASS,2018-05-30,Closed,Rejected
11,EXP01-10003,2018-09-08,CLM01-1001213,Insured,COV01-1000002,INC01-100011,A993C3EA12C04A81,Salvage,COMP,2018-10-06,Closed,Duplicate
12,EXP01-10005,2018-06-21,CLM01-1009682,Insured,COV01-1000002,INC01-100012,010331E267954FC5,Total Loss,PD,2018-07-21,Closed,Closed without payment
13,EXP01-10003,2018-01-26,CLM01-1009996,Thirdparty,COV01-1000001,INC01-100013,FD002E809D3A4C14,Total Loss,COMP,2018-02-28,Closed,Closed with payments
14,EXP01-10002,2018-02-20,CLM01-1003350,Insured,COV01-1000002,INC01-100014,01575C2A729344A7,Analyst Vendor IPD,BI,,Open,Closed without payment
15,EXP01-10003,2018-07-13,CLM01-1006800,Insured,COV01-1000001,INC01-100015,45771ADAE7834958,General,COMP,2018-08-13,Closed,Closed with payments
16,EXP01-10005,2018-05-25,CLM01-1001937,Insured,COV01-1000003,INC01-100016,75B44B4D10F441FE,Medical Claims,PD,,Open,Closed with payments
17,EXP01-10004,2018-01-13,CLM01-1001206,Insured,COV01-1000002,INC01-100017,7E4CAEF172674ADA,Injury,COL,2018-02-15,Closed,Reported in siu
18,EXP01-10001,2018-10-09,CLM01-1007851,Insured,COV01-1000002,INC01-100018,48453656CE714AFD,Physical,GLASS,2018-10-15,Closed,Reported in siu
19,EXP01-10004,2019-01-01,CLM01-1010269,Thirdparty,COV01-1000001,INC01-100019,9DB850122FB64121,Tow,COL,,Open,Closed without payment
20,EXP01-10002,2018-07-01,CLM01-1005247,Thirdparty,COV01-1000002,INC01-100020,E81B2067D9494442,Subrogation,BI,2018-07-27,Closed,Reported in siu
21,EXP01-10001,2018-07-14,CLM01-1007203,Insured,COV01-1000002,INC01-100021,7AB13CDD7F614AAB,Subrogation,GLASS,,Open,Closed without payment
22,EXP01-10002,2018-08-06,CLM01-1009753,Insured,COV01-1000002,INC01-100022,3FB25ED70E6B4D48,Analyst Vendor IPD,BI,2018-09-05,Closed,Reported in siu
23,EXP01-10002,2019-01-28,CLM01-1002741,Thirdparty,COV01-1000002,INC01-100023,4926E34A8D6B4E99,Subrogation,BI,,Open,Reported in siu
24,EXP01-10001,2018-01-20,CLM01-1003267,Insured,COV01-1000001,INC01-100024,06A5282B66414765,Injury-Compound,GLASS,2018-02-02,Closed,Rejected
25,EXP01-10003,2018-03-06,CLM01-1002429,Insured,COV01-1000001,INC01-100025,687BE1037E5E47A9,Physical,COMP,2018-03-30,Closed,Rejected
26,EXP01-10002,2018-12-08,CLM01-1010843,Insured,COV01-1000002,INC01-100026,D3B2B2A592EE4E59,Physical,BI,,Open,Reported in siu
27,EXP01-10005,2018-03-24,CLM01-1009147,Insured,COV01-1000002,INC01-100027,082FEBEC7BFB4CDE,houseowners compound,PD,2018-04-21,Closed,Reported in siu
28,EXP01-10005,2018-01-18,CLM01-1002806,Insured,COV01-1000002,INC01-100028,AE8A2F476E984722,Subrogation,PD,2018-02-19,Closed,Closed with payments
29,EXP01-10005,2018-12-29,CLM01-1000272,Insured,COV01-1000001,INC01-100029,FEF9D3AB552746F9,Physical,PD,,Open,Reported in siu
30,EXP01-10004,2018-09-18,CLM01-1009214,Insured,COV01-1000002,INC01-100030,8000DFC59EDD4075,General,COL,2018-10-17,Closed,Rejected
31,EXP01-10001,2018-04-06,CLM01-1008346,Insured,COV01-1000002,INC01-100031,F26E6C30DA0C430D,Physical,GLASS,2018-04-12,Closed,Closed without payment
32,EXP01-10001,2018-05-02,CLM01-1005984,Thirdparty,COV01-1000003,INC01-100032,03103B817B834075,Injury-Compound,GLASS,2018-05-08,Closed,Reported in siu
33,EXP01-10001,2018-10-28,CLM01-1007924,Insured,COV01-1000002,INC01-100033,F286D7DC3A9B41BA,Tow,GLASS,,Open,Rejected
