incident_id,incident_vin,incident_desc,driver,is_the_vehicle_driveable
INC01-100001,CE6E16E2480441E0,Insured vehicle collided garage,Spouse,Y
INC01-100002,9D7B6347521C4E18,insured vehicle was left park on the street and the car was hit while it was parked dent and scratches on back passenger door up to passenger front door.,Brother,Y
INC01-100003,8B9B451E690347FF,Other vehicle swerved into insured vehicles lane and struck insured vehicle.,Third Party,Y
INC01-100004,F80BD4DC6466447E,Other vehicle backed into insured vehicle  materials from rear of truck damaged insured vehicle,Mother,Y
INC01-100005,ABEB0A206D9E4FCF,insured vehicle was making a turn and collided with other vehicle that was turning as well.,Mother,
INC01-100006,A2418B5389184880,stop and go traffic conditions  insured vehicle rear-ended other vehicle.,Mother,Y
INC01-100007,5F788DFB0A6A47C0,insured vehicle was turning right off galvenston and side swiped other vehicle who was also turning into left lane,Mother,
INC01-100008,7E9033F538444E60,following up on existing claim,Daughter,
INC01-100009,CB3CBB5645384A37,insured vehicle hit a curb and damaged the underside of her vehicle,Father,Y
INC01-100010,B1FFC9AF62954865,insureds foot slipped off brake pedal and insured vehicle rear end other vehicle  impact less than 5mph,Brother,Y
INC01-100011,660007D09C1C47AE,insured vehicle struck by other vehicle at intersection,Father,Y
INC01-100012,2B7975F5C1AC483B,parked insured vehicle was hit by unknown other vehicle,Spouse,Y
INC01-100013,21D8F347795E4096,stop and go traffic conditions  insured vehicle rear-ended other vehicle.,Sister,Y
INC01-100014,A7262D64D1634A63,Unknown,Third Party,Y
INC01-100015,EDA33234413F47AC,insured vehicle was parked. Other vehicle hit insured vehicle.,Sister,Y
INC01-100016,79DB22912A1948B1,insured vehicle was stopped at a stop light  other vehicle was changing lanes and hit stopped insured vehicle,Mother,Y
INC01-100017,AC5204F60E204238,insured vehicle trav w/b on shaw st  insured vehicle stopped at light  other vehicle r/e insured vehicle  other vehicle drother vehiclee off making incident a hit and run,Third Party,Y
INC01-100018,3453AD64C17242F3,other vehicle made left hand turn across the front of insured vehicle. Insured vehicle had accident in intersection with other vehicle.,Brother,Y
INC01-100019,4E60B91882AD43D9,insured let a friend drinsured vehiclee her car he got pulled over for a dui and also hit a post,Spouse,Y
INC01-100020,2374A04E3762485A,Insured vehicled had glanced back and was getting ready changing lanes  traffic ahead had stopped insured vehicle r/e other vehicle1  other vehicle1 pushed into other vehicle2.,Son,Y
INC01-100021,F1D0DDDAEE61479A,insured vehicle backing out of drinsured vehiclee way onto 33rd ave and collided with other vehicle,Mother,
INC01-100022,F635DFD17C584835,insured vehicle traveling on pacific ave  other vehicle turning out of gas station lot struck insured vehicle on pass front corner.,Son,Y
INC01-100023,512DC656C4C74DA2,insured vehicle parked and other vehicle hit insured vehicle and drove off,Mother,Y
INC01-100024,E2126A196D6D45DC,insured vehicle drove over debris from storm,Self,Y
INC01-100025,4F463B58C5CB4143,Insured was backing up out of parking spot and hit claimant,Father,Y
INC01-100026,8FDFD82C4D604E26,insured vehicle parked and other vehicle hit insured vehicle and drove off,Mother,Y
INC01-100027,C4DFA93E9CB74A35,parked insured vehicle was hit by unknown other vehicle,Spouse,Y
INC01-100028,124252D091B647A9,truck with trailer stopped in intersection  and insured vehicle rear-ended other vehicle trailer.,Self,Y
INC01-100029,1525D72932274E49,insured vehicle was on 32nd st. When insured vehicle stopped due to traffic when other vehicle rear ended insured vehicle.,Spouse,Y
INC01-100030,CD7F9B946D2846AA,Insureds vehicle parked in a parking lot at safeway when unknown vehicle hit insureds vehicle.,Daughter,Y
INC01-100031,10EC19FFC13F4580,insured vehicle was driving straight other vehicle crossed it insured vehicles lane and collided with insured vehicle,Sister,
INC01-100032,415A75ECD51E4685,insured vehicle was stopped at stop light  other vehicle in front of insured vehicle was a manual and began rolling back  insured vehicle honked horn but other vehicle did not stop. Collided with insured vehicle  the light then turned green and other vehicle fled the scene,Self,Y
INC01-100033,A49944BF09BE4749,Other vehicle collided with insured vehicle,Son,Y
INC01-100034,B615C94E8D0C44C9,insured vehicle was parked when hit by other vehicle,Spouse,Y
INC01-100035,1B09F71DBD364B0D,insured vehicle trav nb on side between left and right hand lane  approaching light at busy intersection  other vehicle turned left from babcock onto other lane parallel to insured vehicle and collided,Sister,Y
INC01-100036,668C218972E946FB,insured vehicle was rear ended by other vehicle  which caused insured vehicle to hit other vehicle2  which caused other vehicle2 to rear end other vehicle3,Sister,
INC01-100037,B296F6C0C5FF4855,insured vehicle hit a curb and damaged the underside of her vehicle,Spouse,Y
INC01-100038,26C96693B2CC4975,Insured vehicle hit a tree branch that was in the road  which caused the tire to pop. The tire popping caused the insured vehicle to spin and hit some mud. The mud caused the insured vehicle to roll.,Son,
INC01-100039,A99DBE5CC8374803,insured vehicle was rear-ended by other vehicle,Spouse,Y
INC01-100040,D31CED494B104EC5,insured vehicle hit while parked overnight at home  hit in rear but also pushed into sign in front,Sister,
INC01-100041,CDF4C37CC34E4887,other vehicle re insured vehicle,Sister,Y
INC01-100042,3F776E5411A2492B,Insured vehicle was backing into the drinsured vehiclee way and scrapped against other vehicle parked and un-occupied vehicle.,Third Party,
INC01-100043,6DED80084BFC4F4E,other vehicle r/e insured vehicle.,Self,Y
INC01-100044,1CE98E9484F5465F,other vehicle changed lanes hit insured vehicle.,Father,
INC01-100045,8D4DA0CAB882441A,insured vehicle drove over debris from storm,Daughter,Y
INC01-100046,24E449D4648F4D1D,insured vehicle parked on icy road when slid down a mountain hitting other vehicle,Daughter,Y
INC01-100047,CA585D70BE4E4D9A,insured vehicle hit other vehicle while backing out of parking space,Spouse,Y
INC01-100048,E21AD153FE7949CD,insured vehicle struck by unknown other vehicle,Son,
INC01-100049,6B6746D90F8E4691,Insured vehicle had come to a stop in traffic  other vehicle rear ended insured vehicle.,Third Party,Y
INC01-100050,E28E2CE070BB4DFE,other vehicle collided with insured vehicle when making a right turn instead of a left turn,Son,
INC01-100051,0BAEE137E9434B94,insured vehicle was re by other vehicle1 and pushed insured vehicle into other vehicle2,Third Party,Y
INC01-100052,933C404DA9EE4CE3,insured vehicle was driving and ran over an unknown object damaging front end.,Third Party,Y
INC01-100053,933EBC12E6764AE4,insured vehicle was making a left turn off of the freeway  and was r/e by other vehicle,Father,Y
INC01-100054,FAAE4E4BB7C54FA3,Other vehicle swerved into insured vehicles lane and struck insured vehicle.,Mother,Y
INC01-100055,263C77422CA1407A,insured vehicle backed into the other vehicle and the parking lot was completely dark and the other vehicle didnt have head lights on,Mother,
INC01-100056,2E86B72B9EBD48E2,insured vehicle was trying to park  insured vehicle collided with parked other vehicle.,Sister,
INC01-100057,AC7FCBF59A6C4B10,insured vehicle was passing stop sign when other vehicle collided with insured vehicle and other vehicle drove away from the scene,Self,Y
INC01-100058,8BE87F05EF9D4DA1,stop and go traffic conditions  insured vehicle rear-ended other vehicle.,Daughter,
