policysource,policynumber,policylob,policytype,policystate,policyaddressid,termeffectivedate,termexpirationdate,policyinceptiondate,renewal_cycle,renewalterm,policystatus,policystatusreason,premiumamount,recordstartdate,recordenddate
System3,POL01-1025001,Auto,Auto Insurance,NY,CNT01-1025001,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$905,2019-02-11 01:03:21.709410,
System1,POL01-1025002,Auto,Auto Insurance,MD,CNT01-1025002,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2019-02-11 00:00:00.000000,12,1,Active,,$779,2019-02-11 01:03:21.739893,
System2,POL01-1025003,Auto,Auto Insurance,IL,CNT01-1025003,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2019-02-11 00:00:00.000000,12,1,Active,,$907,2019-02-11 01:03:21.770247,
System3,POL01-1025004,Auto,Auto Insurance,IL,CNT01-1025004,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1495,2019-02-11 01:03:21.800844,
System1,POL01-1025005,Auto,Auto Insurance,FL,CNT01-1025005,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1861,2019-02-11 01:03:21.831643,
System3,POL01-1025006,Auto,Auto Insurance,FL,CNT01-1025006,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2019-02-11 00:00:00.000000,12,1,Active,,$1198,2019-02-11 01:03:21.862393,
System3,POL01-1025007,Auto,Auto Insurance,TX,CNT01-1025007,2019-02-11 00:00:00.000000,2020-02-11 00:00:00.000000,2019-02-11 00:00:00.000000,12,1,Active,,$812,2019-02-11 01:03:21.893158,
System3,POL01-1025008,Auto,Auto Insurance,TX,CNT01-1025008,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1181,2019-02-11 01:03:21.924454,
System3,POL01-1025009,Auto,Auto Insurance,OR,CNT01-1025009,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1802,2019-02-11 01:03:21.955591,
System2,POL01-1025010,Auto,Auto Insurance,SC,CNT01-1025010,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1712,2019-02-11 01:03:21.986481,
System1,POL01-1025011,Auto,Auto Insurance,OR,CNT01-1025011,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1929,2019-02-11 01:03:22.017620,
System3,POL01-1025012,Auto,Auto Insurance,OR,CNT01-1025012,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1223,2019-02-11 01:03:22.048463,
System3,POL01-1025013,Auto,Auto Insurance,ID,CNT01-1025013,2019-02-11 00:00:00.000000,2019-08-11 00:00:00.000000,2019-02-11 00:00:00.000000,6,1,Active,,$1040,2019-02-11 01:03:22.079771,
