VIN,License Plate No
9E63FF5831FD4C96,EDO-548
A8EDB5D830124B71,MAP-288
CEC2EEFB6F784BD2,IGY-921
FCE649B4968E46B7,BJU-236
BC90E41D19644887,EPN-101
79501132053E4934,MAH-040
1365EBA3CF614575,TPR-434
42C07ED707E646A8,WPA-579
4C7EC95790874E46,CAI-194
C80E2912A8F5403D,WLR-698
1E6568B2F52D41B3,DJV-355
092AF8FB3D0C4172,LIJ-913
B687442E0B8E4D56,BVD-945
6F577CA3BE224B25,JEB-057
4883479F12F64717,BYU-433
C9BEC7A469934DDE,SVO-571
79C85096A0E44F17,AHV-905
D5B37186D56B47CA,KAE-024
BD3ED4E2DD2247DA,YNW-273
B6A52E501C744AEC,ELX-327
278D154E66774C8A,FJI-285
39015D06AB2A4935,FSH-985
FFDF432BDF1B4648,AMV-127
8E27BDA63CB242E8,HVB-477
743442B205ED424B,PUG-620
4DA6A0CD6CB14361,RJE-957
AB1E4612B2C64E37,JVO-910
FD25FA9C50234342,JXR-651
3BF5960C63E34548,AEQ-815
EB4C820DC8374803,XEZ-030
BEAB9F9CF00D444F,XRZ-624
9757FFA6904C4963,YDL-813
34F89D71FFC7419B,JJR-974
34AE582629574A5B,TAE-924
FB091C3FFD604F0C,YMA-335
CA9ED8EB0C1F4557,KZM-383
5388C73BEE984066,AZU-332
3B04A412F5704135,LGW-263
A79DECE797F6424A,SWW-057
669E89783F204D47,KSK-722
7697E50F17544A79,BYO-765
B4E5BFD325B8442A,MIJ-234
B663C50C74B14C28,CIC-944
CEA8F778B5C1477C,DDQ-963
272A096895A8435C,CGO-070
C78CCE65CBAB4AAA,MUV-966
D8900A80F84C4A5B,QIF-348
29C436F1B4DA47D6,BJU-678
99F13AC0F8BD489C,XDL-783
63A056E3EB9C4ADF,JUN-914
FEE5335870CF4B9D,DIF-576
2F7D3FDA8ED146C0,KFR-112
D04B5EAC443E4D2D,VJD-091
F2D7BB5447C54284,MZI-174
BA4D152E641B4280,ALE-817
D51CD839024F4EED,CKI-271
04FEDE6ED8514CB9,WAM-430
729268703E8D4DAC,JGF-900
AC883D8DCBBF4A6D,HDG-925
1F66D1F64E114CEB,EKU-021
5CE43094FF0E49E1,RTW-642
B225862D0787478F,CCY-039
871B8A0F758240C0,VND-611
B6669D3E69084D59,CFK-780
5EF7EE432BAF45B2,DDA-709
F99E312118E54DA9,AZQ-593
CC89D1708D42430D,QKA-511
00F292485F2E473F,ZNJ-024
2330DDD3FDA54708,ULH-755
72D286603C2848FD,ZBB-068
29496F2CD16B4002,EPS-364
1D30F25680B348BF,ILX-405
A018EC24A2934BEE,KOW-712
B223CF391F8E45B0,FWF-864
F4D81A835DC246BC,XHD-045
D35BFB41A53C4141,RYH-644
319F94D170AE4F8F,DKE-011
CCFCC49B14AD433B,JSS-214
16F0BA9FF9FC484E,RDN-823
5CCBC19D80094ED2,ZNR-611
08A008F218F64A14,IAL-759
4608311C614C4B8F,ODA-913
155BF401D09C46CB,YQK-292
0BA0755F6B3B42E1,ESQ-467
884F931971454580,HEQ-488
D42254EA4E3448C1,HHV-620
98520C00065A476F,UYL-618
B9CE9AF5C2424829,VAQ-110
0705189827704B99,NFB-320
07678120CE2446E0,FAW-085
3C9B784E11564853,XDJ-274
FE80990741F64892,DYN-119
A4DC3B8FBED540A1,PKP-285
402145C558B242A4,TVW-780
15B8BA67AE9844C7,UKA-134
5B77082B61F7483E,NFO-187
9B8780F3D9DA4213,BSF-349
3616DB11D9054FD0,IUQ-170
2FC392C14BC746D3,LZX-420
CC4029E112D64CE8,MLP-310
7A75800C4E4547BA,QMJ-911
C1718CE3A680431B,LEU-339
55B30A502EF74EF5,OAZ-589
BC58807500844B07,KDG-615
25FD3EEB0BAE46D0,RNM-820
8C23EA30E0B24987,YLJ-727
340481FCA2974289,LMI-609
BBEF1F0AF22849E6,KVI-414
C4400723E3674199,ZVJ-655
668B21EF853F4D4D,OPL-030
C38E0956FE0E4530,QEC-288
B1A27CCCC3B94D14,YHL-536
627D1A9A81EC4470,SDM-035
C6A7BC1286804B94,JZY-241
9B4E3EE5C6C347F0,GFE-312
933AD508EEB242EA,IOO-810
C838944F52554A6C,LQU-292
