,exposure_id,exp_createdate,exp_claim_id,exp_lossparty,exp_coverage_id,exp_incident_id,exp_vehicle_id,exp_group,exp_type,exp_closedate,exp_status,exp_resolution
0,EXP01-10005,06-08-2018,CLM01-1002374,Insured,COV01-1000002,INC01-100000,6B96357E6B854BBD,Analyst Vendor IPD,PD,30-08-2018,Closed,Duplicate
1,EXP01-10005,30-07-2018,CLM01-1002476,Insured,COV01-1000002,INC01-100001,B347000413904CB7,Subrogation,PD,29-08-2018,Closed,Closed without payment
2,EXP01-10001,22-09-2018,CLM01-1009724,Insured,COV01-1000002,INC01-100002,9FAEEC41D15A4841,Fire/Theft,GLASS,30-09-2018,Closed,Reported in siu
3,EXP01-10002,07-08-2018,CLM01-1007057,Insured,COV01-1000001,INC01-100003,26316641A29A4C6E,Analyst Vendor IPD,BI,02-09-2018,Closed,Closed without payment
4,EXP01-10005,12-01-2018,CLM01-1004342,Insured,COV01-1000002,INC01-100004,3722FF5B829F46B6,Injury-Compound,PD,,Open,Reported in siu
5,EXP01-10004,30-01-2019,CLM01-1001549,Thirdparty,COV01-1000002,INC01-100005,A68750724EEA4743,Physical,COL,,Open,Closed with payments
6,EXP01-10002,19-12-2018,CLM01-1004620,Thirdparty,COV01-1000002,INC01-100006,CC2F55420CFA4A0D,General,BI,,Open,Reported in siu
7,EXP01-10002,23-06-2018,CLM01-1006463,Insured,COV01-1000002,INC01-100007,AE8A2F476E984722,Total Loss,BI,27-07-2018,Closed,Reported in siu
8,EXP01-10003,14-12-2018,CLM01-1004151,Insured,COV01-1000001,INC01-100008,A70C4990A4F247D5,Glass,COMP,,Open,Closed with payments
9,EXP01-10001,22-01-2019,CLM01-1005068,Insured,COV01-1000001,INC01-100009,7D234865BEDD4BAB,Injury-Compound,GLASS,,Open,Closed with payments
10,EXP01-10002,21-08-2018,CLM01-1001139,Thirdparty,COV01-1000002,INC01-100010,BCC7C6B8A3AF4908,Subrogation,BI,16-09-2018,Closed,Reported in siu
11,EXP01-10001,16-06-2018,CLM01-1008181,Insured,COV01-1000002,INC01-100011,D40ECC7CD7284E0D,houseowners compound,GLASS,,Open,Rejected
12,EXP01-10001,04-07-2018,CLM01-1004094,Thirdparty,COV01-1000002,INC01-100012,7E8FFCC04C9B4CE2,Injury,GLASS,13-07-2018,Closed,Rejected
13,EXP01-10001,23-02-2018,CLM01-1002783,Thirdparty,COV01-1000002,INC01-100013,2C57DBF972454B53,Medical Claims,GLASS,04-03-2018,Closed,Closed with payments
14,EXP01-10001,20-07-2018,CLM01-1000553,Insured,COV01-1000002,INC01-100014,A9F8985372214A4E,Fire/Theft,GLASS,25-07-2018,Closed,Rejected
15,EXP01-10005,09-08-2018,CLM01-1006742,Thirdparty,COV01-1000001,INC01-100015,03FDC6B6AA6B4776,Medical Claims,PD,03-09-2018,Closed,Reported in siu
16,EXP01-10004,20-09-2018,CLM01-1002698,Insured,COV01-1000002,INC01-100016,790350ACF3074E67,Salvage,COL,21-10-2018,Closed,Duplicate
17,EXP01-10004,31-07-2018,CLM01-1009096,Thirdparty,COV01-1000001,INC01-100017,0AF7B89E100048A9,houseowners compound,COL,30-08-2018,Closed,Reported in siu
18,EXP01-10002,25-08-2018,CLM01-1000817,Insured,COV01-1000002,INC01-100018,22A26D18BD8D4030,houseowners Low Compound,BI,27-09-2018,Closed,Closed with payments
19,EXP01-10005,22-09-2018,CLM01-1010846,Insured,COV01-1000002,INC01-100019,74F8A0D89BF74405,Total Loss,PD,19-10-2018,Closed,Rejected
20,EXP01-10002,09-02-2018,CLM01-1008993,Thirdparty,COV01-1000001,INC01-100020,89972A1F4ED94583,Total Loss,BI,13-03-2018,Closed,Reported in siu
21,EXP01-10002,28-12-2018,CLM01-1009867,Insured,COV01-1000001,INC01-100021,1EBB3FF5BBA2470D,General,BI,,Open,Reported in siu
22,EXP01-10001,08-02-2018,CLM01-1009510,Insured,COV01-1000001,INC01-100022,46AA85D6FB1A4DA2,Tow,GLASS,19-02-2018,Closed,Duplicate
23,EXP01-10005,28-11-2018,CLM01-1000889,Insured,COV01-1000001,INC01-100023,47FE8B971F124AF5,Fire/Theft,PD,29-12-2018,Closed,Closed with payments
